wavelength (nm),n_o,k_o,n_e,k_e
191.9609192,2.013679,0.836974,1.580661,1.009961
193.5591818,1.965299,0.851838,1.577568,1.052888
195.1575223,1.92107,0.869677,1.576802,1.089247
196.7558419,1.880701,0.890113,1.57664,1.120981
198.3542155,1.843952,0.912736,1.576068,1.149611
199.9526155,1.810554,0.937149,1.574383,1.17643
201.551,1.780152,0.963009,1.57093,1.202677
203.1494445,1.752265,0.990213,1.565011,1.230315
204.7479139,1.726684,1.018952,1.557486,1.261925
206.3464246,1.703447,1.049335,1.550348,1.29918
207.9449077,1.682688,1.081376,1.546073,1.342874
209.5434504,1.664598,1.115007,1.547435,1.392943
211.1420193,1.649423,1.150073,1.557439,1.448374
212.7405964,1.637488,1.186269,1.579547,1.506576
214.3391797,1.628978,1.222938,1.615094,1.561803
215.9377839,1.623677,1.259448,1.661599,1.609571
217.5364409,1.621217,1.295337,1.715881,1.647472
219.1351232,1.621155,1.330283,1.774785,1.674326
220.733817,1.622998,1.364092,1.835303,1.689726
222.3325231,1.626211,1.39669,1.89446,1.693825
223.9312573,1.630177,1.428177,1.948895,1.6875
225.5300101,1.634368,1.45908,1.99567,1.673889
227.128744,1.638744,1.489989,2.03449,1.656367
228.72756,1.643449,1.521301,2.065867,1.637241
230.3264074,1.648693,1.55329,2.090564,1.618247
231.9252028,1.654722,1.586131,2.109499,1.600755
233.5240471,1.661801,1.619919,2.123741,1.585848
235.1228814,1.670207,1.654674,2.134533,1.574351
236.7217918,1.68023,1.69034,2.143424,1.566732
238.3206525,1.692122,1.726713,2.151999,1.562495
239.9196213,1.705986,1.763561,2.160932,1.560787
241.5185003,1.721864,1.800697,2.170534,1.561001
243.1174738,1.739774,1.837955,2.180973,1.56266
244.7164094,1.759714,1.875191,2.192333,1.565375
246.3153743,1.78167,1.912275,2.204642,1.568822
247.9143515,1.805621,1.949094,2.21789,1.572727
249.5133837,1.831537,1.985544,2.232044,1.576856
251.1124248,1.859387,2.021538,2.247062,1.581004
252.7114367,1.889138,2.057002,2.26288,1.584945
254.3104415,1.920773,2.091874,2.279358,1.588473
255.9095253,1.954278,2.126089,2.296321,1.591437
257.5085745,1.989643,2.159583,2.313566,1.593723
259.1076957,2.026864,2.192295,2.330874,1.59526
260.7067913,2.065941,2.224163,2.347999,1.596011
262.3058787,2.106882,2.255125,2.364669,1.595977
263.9049855,2.149704,2.285113,2.380567,1.595203
265.5041494,2.194438,2.314056,2.395303,1.593792
267.103246,2.241141,2.341859,2.408325,1.591973
268.7023865,2.289871,2.368345,2.418977,1.590541
270.3015782,2.340579,2.39332,2.427313,1.590639
271.9007173,2.393183,2.416645,2.433781,1.593142
273.4998845,2.447607,2.438218,2.438999,1.598729
275.0991113,2.503783,2.457958,2.443706,1.607922
276.6983149,2.561664,2.475796,2.448741,1.621096
278.2974787,2.621221,2.49167,2.455033,1.638475
279.8966562,2.682453,2.505518,2.463591,1.660125
281.495911,2.745394,2.517269,2.475508,1.685941
283.0951227,2.810122,2.526835,2.491969,1.715623
284.694369,2.876794,2.534081,2.514316,1.748623
286.2936056,2.945717,2.538693,2.544251,1.783794
287.8927936,3.016953,2.539909,2.58275,1.81859
289.4921017,3.090115,2.537118,2.629297,1.850745
291.0913028,3.164722,2.529918,2.682934,1.878653
292.690581,3.240282,2.51804,2.742554,1.901165
294.2898555,3.316298,2.501304,2.807012,1.917482
295.8891191,3.39228,2.479595,2.875185,1.92706
297.4883704,3.46775,2.45285,2.945999,1.92955
299.0876144,3.542228,2.421042,3.018425,1.924747
300.6869351,3.61523,2.384172,3.091478,1.912545
302.286205,3.686254,2.342269,3.164188,1.892922
303.8854461,3.754759,2.295385,3.235575,1.865913
305.4847624,3.820121,2.24361,3.304573,1.831625
307.0840398,3.881521,2.18714,3.369855,1.790318
308.6833188,3.938071,2.12675,3.430007,1.743114
310.2825693,3.989513,2.06342,3.484574,1.691443
311.8818441,4.035843,1.997903,3.533487,1.636387
313.4812034,4.077139,1.930811,3.576813,1.578814
315.0803949,4.113526,1.862664,3.614679,1.519448
316.6797273,4.145151,1.793905,3.647254,1.458903
318.2789552,4.172178,1.724929,3.674727,1.397719
319.8782409,4.19478,1.656085,3.697304,1.336369
321.4775081,4.21314,1.587688,3.715204,1.275282
323.0768508,4.227446,1.520027,3.728657,1.214846
324.6761163,4.237897,1.453366,3.737907,1.155419
326.2753225,4.244702,1.387953,3.743217,1.097338
327.8746661,4.248085,1.324018,3.744872,1.040915
329.4739183,4.248291,1.26178,3.743199,0.986449
331.0731995,4.245611,1.201437,3.738593,0.934216
332.6724607,4.240425,1.143111,3.7316,0.884373
334.2716557,4.233048,1.086748,3.722672,0.836797
335.8709224,4.223678,1.032291,3.712074,0.791355
337.4701332,4.212471,0.979705,3.700006,0.747947
339.069345,4.199562,0.928968,3.686627,0.706491
340.668621,4.185069,0.880065,3.672074,0.666923
342.2678422,4.169098,0.83299,3.656467,0.629185
343.8670795,4.151754,0.787743,3.639913,0.593233
